Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2014-08-21,71.6950454711914,72.54546631767545,70.73651669248017,71.92566807362776,17293700
2014-08-22,72.71122741699219,72.93464664280647,70.93110567790316,71.51486553304616,13959029
2014-08-25,71.73107147216797,74.34720719115296,70.95993078843705,72.79050473741262,20103296
2014-08-26,70.70768737792969,71.3491100647813,69.25908559955167,71.19055702894575,13971444
2014-08-27,69.53294372558594,71.22658186266682,68.64648460795853,70.772547251559,12951493
2014-08-28,69.02845764160156,70.62840178806283,68.75459332824333,69.42483661307473,11892378
2014-09-01,70.4914779663086,71.17614238315103,69.14377358825901,69.2951160790256,13429079
2014-09-02,71.11127471923828,71.29145220534642,70.13112870991223,70.13112870991223,8817083
2014-09-03,71.68062591552734,72.3869075798871,71.07524163179042,71.49324506579924,13984049
2014-09-04,74.13099670410156,74.37603319545705,70.70047865045503,71.62296897085218,19464556
2014-09-05,73.46796417236328,75.51474695118587,73.09320244202554,74.52017979985,15586534
2014-09-08,74.6138687133789,75.3129470190778,72.97788614595511,73.52561479127121,11586568
2014-09-09,73.04275512695312,74.66432400389704,72.85537424904281,74.66432400389704,8874124
2014-09-10,73.04275512695312,73.7994891827725,71.74550289526633,72.05539845216721,7235195
2014-09-11,72.43016052246094,73.51841459776963,71.96171191298667,73.3094164357592,5716670
2014-09-12,71.8752212524414,72.77609435905755,71.06803498849543,72.76167327207892,10700729
2014-09-15,71.64458465576172,72.5022159437519,70.95992747366563,71.66620910949953,6417325
2014-09-16,71.15451049804688,72.60311211024444,70.70047589848421,71.12568267665657,16559412
2014-09-17,71.3202896118164,72.06981313141954,69.78520420067838,71.13290873191562,16118995
2014-09-18,73.42472076416016,73.62651553744439,70.67165632539802,70.67165632539802,17331032
2014-09-19,71.3202896118164,73.88597344974418,70.64283566140588,73.87155953590566,16029202
2014-09-22,71.68062591552734,71.8535928537379,70.4194050704072,70.84461904750968,7833962
2014-09-23,69.93653869628906,72.06980487466114,69.66267436473272,72.05539096247396,19682406
2014-09-24,69.62664031982422,70.45543664930585,68.50955858373662,69.92212192022392,16265451
2014-09-25,67.93299102783203,69.90770397739266,67.37084850797248,69.90770397739266,16300897
2014-09-26,68.271728515625,68.95639293450131,66.86636848459997,67.32761367637514,10924765
2014-09-29,68.75460052490234,69.90771354395108,67.80327510951679,68.46631509546981,5637962
2014-09-30,67.84652709960938,69.61944580896217,67.31321224771335,68.1131881128931,4965223
2014-10-01,66.88077545166016,68.84827785584739,65.6123441313276,67.60147098896879,7856653
2014-10-07,65.18714141845703,67.63752101721131,64.7979657611973,66.23215371510085,7461357
2014-10-08,66.53485870361328,67.3852796563286,64.65383210551579,64.65383210551579,9093116
2014-10-09,67.20508575439453,68.01227194163862,66.50601466119588,66.88077634560553,5687879
2014-10-10,66.41952514648438,67.0249093507807,65.5835112135016,66.5492503331193,7274614
2014-10-13,66.46277618408203,66.59250138888616,65.37451509288714,65.82135352854894,6604016
2014-10-14,65.29524993896484,67.01051280356415,64.22140980625402,66.81592138585876,16332115
2014-10-15,65.29524993896484,65.29524993896484,65.29524993896484,65.29524993896484,0
2014-10-16,64.098876953125,65.82855343419538,63.24125284270257,64.74029957491673,16602981
2014-10-17,63.55836486816406,64.38716840953965,62.57100829210246,64.28627102383037,19042171
2014-10-20,64.90605926513672,65.52585739628643,63.342146439901235,64.51688369441482,6540927
2014-10-21,66.58528900146484,66.73663865687918,65.05740723475422,65.36730991387093,11192740
2014-10-22,68.40864562988281,68.59603363230691,67.08256592576903,67.08256592576903,6596715
2014-10-27,66.84473419189453,68.74737750264038,66.52042480148869,68.73296359251859,5159078
2014-10-28,66.75826263427734,67.57986283238138,66.16008167023166,66.75826263427734,4449660
2014-10-29,67.47896575927734,67.88976590392967,66.56368578908258,67.01051713212888,4915626
2014-10-30,67.84652709960938,68.13480539793154,66.5636886720757,67.12583135380393,5407383
2014-10-31,69.79960632324219,70.34012441354137,68.3221696423713,68.36541137658203,11971419
2014-11-03,70.09508514404297,71.14009726675636,69.04286965324788,69.61942608656025,9252007
2014-11-05,68.93477630615234,71.14732284868248,68.04111364561507,70.39779215227061,5974801
2014-11-07,68.52398681640625,69.55458540620829,67.47897431048581,69.14379238416974,5065827
2014-11-10,67.54381561279297,69.12935297580444,67.09698437789656,68.53838263287693,4696974
2014-11-11,69.97257995605469,70.18157810407158,67.60869108498841,67.74561966909079,9589629
2014-11-12,69.02845764160156,70.75092362084737,67.82489246661346,70.1959844511814,24243383
2014-11-13,69.38880920410156,70.2320266443114,68.459108291802,69.3743952920866,8612471
2014-11-14,70.62840270996094,70.84461855589348,68.89873333985823,69.61222554236045,7698969
2014-11-17,71.3923568725586,72.19953602141591,70.73652022677668,70.77255859754314,7995912
2014-11-18,71.572509765625,72.73283309676057,70.84461090498485,72.02655151357729,8624951
2014-11-19,69.54736328125,72.2067408499726,68.75459810851581,71.7815268518074,7637400
2014-11-20,69.12214660644531,69.79239708659223,67.7888561893231,69.6914997048786,7398614
2014-11-21,68.97801208496094,70.0302348818853,68.48072851176599,69.0717061044146,4493522
2014-11-24,69.52572631835938,70.38335752918846,68.75458574003049,69.97976805930861,6064985
2014-11-25,66.84473419189453,69.86445912441394,66.52042480148869,69.57618092197806,6258356
2014-11-26,65.3961410522461,66.69340030480298,64.93489586899742,66.33305250538994,8390980
2014-11-27,65.85018157958984,66.26097447555546,64.89885623306616,65.54027889081769,7073186
2014-11-28,66.15287017822266,67.5294022586004,65.87900587070625,65.99431715808157,5273545
2014-12-01,65.11507415771484,66.67899456074659,64.8988654515823,65.88622213025637,3592058
2014-12-02,65.47542572021484,65.72766561005444,64.0700584425208,65.13669517781626,7345826
2014-12-03,66.96005249023438,67.26995517766505,65.56910643037659,65.56910643037659,6211480
2014-12-04,66.25377655029297,67.50058360165887,65.60515047073943,67.03933838953192,5701129
2014-12-05,65.77810668945312,67.0249135373241,65.52585966790593,66.05197098945533,3584536
2014-12-08,65.28802490234375,66.21052232732653,64.71867903831279,65.87179185120493,5396553
2014-12-09,63.78898239135742,65.9006239545405,63.30611278224164,65.28802914554326,10886428
2014-12-10,64.43041229248047,64.51689576882637,63.053872865302615,63.28450264356204,6185579
2014-12-11,63.65925979614258,64.58175014415517,62.2827204679628,64.14212225034551,7822003
2014-12-12,64.0340347290039,64.71869926295129,63.57278945970758,63.853857208349375,6276670
2014-12-15,64.07005310058594,64.39436970296272,62.67190365796108,63.42142707050224,4608212
2014-12-16,63.50071334838867,64.27185411626166,62.70073757948217,63.4358471517368,7197622
2014-12-17,63.12593460083008,63.93312078796501,61.54760776590661,63.14755905457013,10603088
2014-12-18,64.2430191040039,64.84841056457995,63.37098104140237,63.85384349163559,6457188
2014-12-19,65.17992401123047,66.28259172331764,64.50967360296787,64.50967360296787,8433276
2014-12-22,65.65559387207031,66.23215037224413,65.37451899090047,65.37451899090047,5039463
2014-12-23,63.82502365112305,66.05918739844626,63.421434076708394,65.73487793491267,5658813
2014-12-24,63.652034759521484,64.42318244655938,63.20520359894546,63.9114851108237,10042919
2014-12-26,65.28083801269531,65.58353020248464,63.133157681900165,64.21420121686204,4786877
2014-12-29,66.04476165771484,66.70059818602616,65.00696008078481,65.1871303783338,5794902
2014-12-30,69.20144653320312,69.36720297759888,66.2177516126889,66.43396034973024,11288862
2014-12-31,70.09508514404297,70.42660509319758,68.54558614218125,69.33114786990406,7736809
2015-01-01,70.62840270996094,70.99596103844262,69.27349503671381,69.9653627847549,3946806
2015-01-02,70.97435760498047,71.63739765953845,70.62841648880087,70.81580454845573,6565229
2015-01-05,72.14907836914062,73.01391302113997,70.72930456144032,70.78696020490693,9404837
2015-01-06,71.60134887695312,74.6499020552933,69.79239931680459,71.43559247474747,18412441
2015-01-07,70.9671401977539,73.15806212344226,69.47529663192951,72.06980811701591,10863352
2015-01-08,73.76345825195312,74.08776772370916,71.89684566095372,71.9689152296407,7942903
2015-01-09,73.02833557128906,75.06070441858704,71.78152854649085,74.37603998409008,12083224
2015-01-12,74.16703796386719,75.29853362896955,73.5112013887817,73.60488822826827,12302379
2015-01-13,71.59415435791016,74.77963650794263,71.34190727705058,74.65712182699495,7711411
2015-01-14,70.822998046875,71.8824241824168,70.0518501557432,71.8535963579758,6088603
2015-01-15,72.19953155517578,72.76888468550297,70.05185142086455,72.06980634284847,8490702
2015-01-16,72.11305236816406,73.00672216978263,70.97435321447236,71.85360192808241,7528008
2015-01-19,72.97789001464844,73.79948302617674,72.09143080961172,72.35808460321124,7947209
2015-01-20,73.00672149658203,73.51120845875555,72.45178225085586,73.3238275870911,6590817
2015-01-21,72.95626068115234,73.35264683526856,72.03377034391576,73.07878251640145,6416875
2015-01-22,74.75080108642578,75.24088128444365,73.0067176798062,73.0787872420632,8134532
2015-01-23,81.27312469482422,82.79379610402452,75.57240416527948,75.6733015563037,45485926
2015-01-27,80.90557098388672,82.54876433555545,79.89659701555473,81.287543287805,12114821
2015-01-28,80.31459045410156,83.65142185044837,79.42092790840312,79.85334526922495,13903344
2015-01-29,84.09105682373047,85.87117869609456,80.3145972057452,80.429908511658,37824705
2015-01-30,90.41877746582031,93.11418615405432,81.30915648600421,85.53244700365572,65285063
2015-02-02,94.38261413574219,95.50689921813337,92.11962288497749,93.8348855058593,41701833
2015-02-03,92.47998046875,94.47631098446433,91.39892983105841,94.4546937025391,11937206
